date,nav
2024-02-26,202.60894618726283
2024-02-27,202.82531347123341
2024-02-28,202.85571640068014
2024-02-29,203.9062375541656
2024-03-01,207.03606928051423
2024-03-04,207.85179825378057
2024-03-05,207.10244642806515
2024-03-06,209.04280365088238
2024-03-07,210.98025297883385
2024-03-08,210.37452524706634
2024-03-11,210.780183854992
2024-03-12,211.10998581158577
2024-03-13,211.76423134087952
2024-03-14,210.6734517657271
2024-03-15,209.70895302280476
2024-03-18,211.01000787859886
2024-03-19,211.94361249517354
2024-03-20,213.8385672517932
2024-03-21,214.29999992987288
2024-03-22,213.62028660386954
2024-03-25,213.6359993128811
2024-03-26,213.21194850513388
2024-03-27,215.56535757797639
2024-03-28,216.51880787700424
2024-04-01,215.9469009743522
2024-04-02,215.6779304298867
2024-04-03,216.7980006055519
2024-04-04,215.01138074838
2024-04-05,216.93784393456144
2024-04-08,217.3078807108613
2024-04-09,218.05775412799997
2024-04-10,214.78505552748717
2024-04-11,216.48079140826547
2024-04-12,213.94407967463044
2024-04-15,211.73999297746354
2024-04-16,211.1085154648484
2024-04-17,209.68265115992887
2024-04-18,209.10211611700973
2024-04-19,208.21344502949486
2024-04-22,208.62390573799377
2024-04-23,210.71691367993108
2024-04-24,210.1235273472395
2024-04-25,209.61664391856561
2024-04-26,211.63977892463936
2024-04-29,212.62541952530304
2024-04-30,207.93045158615385
2024-05-01,207.49072109004229
2024-05-02,208.37716721225667
2024-05-03,210.10641507865003
2024-05-06,211.79839451015658
2024-05-07,212.18854863754018
2024-05-08,211.54658918483528
2024-05-09,212.98114640848536
2024-05-10,212.8409840322885
2024-05-13,212.9020692558143
2024-05-14,213.79121505812248
2024-05-15,216.2947502758893
2024-05-16,216.0339634833135
2024-05-17,216.4440908195253
2024-05-20,217.08101608049907
2024-05-21,217.61874112115302
2024-05-22,215.79365386364768
2024-05-23,213.09001628032414
2024-05-24,214.65888661159613
2024-05-28,215.2276580369747
2024-05-29,212.33985426324904
2024-05-30,211.2510274175085
2024-05-31,212.61162040886632
2024-06-03,213.295252718667
2024-06-04,213.36386536628788
2024-06-05,216.3840013232317
2024-06-06,217.3509958407641
2024-06-07,213.79060456848703
2024-06-10,214.995256677503
2024-06-11,216.06646350222445
2024-06-12,218.21061957125028
2024-06-13,219.30317671325838
2024-06-14,220.2956808704965
2024-06-17,220.84291918390392
2024-06-18,222.52232676116577
2024-06-20,222.23521173071828
2024-06-21,221.09821103621633
2024-06-24,221.1303151393133
2024-06-25,221.39765726245776
2024-06-26,220.39320824613404
2024-06-27,221.22084193623266
2024-06-28,219.58652342519667
2024-07-01,219.06408219594294
2024-07-02,220.26905846594858
2024-07-03,222.0074160913665
2024-07-05,223.63734239296642
2024-07-08,223.29875661190374
2024-07-09,223.0146807782618
2024-07-10,224.42458823350077
2024-07-11,224.64156037076336
2024-07-12,225.53512063015495
2024-07-15,225.09869069504975
2024-07-16,227.14788722073882
2024-07-17,225.47007522208244
2024-07-18,223.81618968067446
2024-07-19,221.91124167714722
2024-07-22,222.8857959844963
2024-07-23,222.58259163986565
2024-07-24,219.23149119311225
2024-07-25,218.76117665587523
2024-07-26,220.33805391345768
2024-07-29,220.52664551567486
2024-07-30,220.67863375136247
2024-07-31,224.08329681861636
2024-08-01,223.10180980688398
2024-08-02,223.2961040512143
2024-08-05,220.7693716664301
2024-08-06,219.29412113817182
2024-08-07,218.53395475993372
2024-08-08,220.7768945377054
2024-08-09,222.09388292905206
2024-08-12,223.5071736120334
2024-08-13,225.01574373427812
2024-08-14,225.19527307583382
2024-08-15,226.37279269163233
2024-08-16,227.58029086254797
2024-08-19,228.49729941133248
2024-08-20,228.97313093114713
2024-08-21,229.07139254373305
2024-08-22,227.18563843654573
2024-08-23,229.5346403872656
2024-08-26,229.58583754310143
2024-08-27,229.56917821772748
2024-08-28,228.3511552785322
2024-08-29,228.63503378944816
2024-08-30,227.988356983387
2024-09-03,226.747256171774
2024-09-04,227.28986455740505
2024-09-05,227.913345892468
2024-09-06,225.7969765376376
2024-09-09,227.34446606911138
2024-09-10,227.94248692099526
2024-09-11,228.95379149287217
2024-09-12,230.5537106690032
2024-09-13,231.67063639334813
2024-09-16,232.74416262957357
2024-09-17,232.39040085171231
2024-09-18,230.69385908595265
2024-09-19,233.03725841595147
2024-09-20,233.14286230421882
2024-09-23,233.27249446899128
2024-09-24,234.5529404500827
2024-09-25,233.44194983859688
2024-09-26,233.92057179117353
2024-09-27,233.9828389668221
2024-09-30,233.5599152104232
2024-10-01,234.3062994281037
2024-10-02,233.94931039729485
2024-10-03,233.15547291804432
2024-10-04,232.67957203144155
2024-10-07,231.3743282009773
2024-10-08,231.5131266577902
2024-10-09,231.1601514537968
2024-10-10,231.2981730229612
2024-10-11,231.88758927663733
2024-10-14,232.27207883958405
2024-10-15,232.59421993457372
2024-10-16,233.50596064020462
2024-10-17,232.2924422012664
2024-10-18,233.0341515535577
2024-10-21,231.35675261803044
2024-10-22,232.14689905028268
2024-10-23,230.60648763523804
2024-10-24,231.6995477073173
2024-10-25,231.30503939973275
2024-10-28,230.87469632105802
2024-10-29,231.58764178972103
2024-10-30,232.06088581818952
2024-10-31,230.11410489638237
2024-11-01,228.82140972964788
2024-11-04,230.38466037567576
2024-11-05,231.99634162337645
2024-11-06,229.89395037282125
2024-11-07,232.50502335721802
2024-11-08,233.4881522683041
2024-11-11,231.79141909826313
2024-11-12,229.67575301220148
2024-11-13,228.5197045514088
2024-11-14,228.22718905286033
2024-11-15,226.6740335419912
2024-11-18,228.35777054319115
2024-11-19,229.4955323485039
2024-11-20,229.53618639856793
2024-11-21,230.41397000149126
2024-11-22,231.31755621409818
2024-11-25,232.16379260736556
2024-11-26,232.4355334230909
2024-11-27,232.6473259954388
2024-11-29,234.43869250271482
2024-12-02,234.25579351126737
2024-12-03,233.94820570394273
2024-12-04,235.36976257708352
2024-12-05,235.10266305475915
2024-12-06,235.24110692873734
2024-12-09,234.60473772344915
2024-12-10,234.5190753354718
2024-12-11,235.188263962439
2024-12-12,233.06257569390368
2024-12-13,231.92347804805274
2024-12-16,232.52792286299106
2024-12-17,231.9907131526744
2024-12-18,227.01771521455757
2024-12-19,225.98688369750562
2024-12-20,227.88052124458025
2024-12-23,227.59008784212196
2024-12-24,229.00299725803174
2024-12-26,229.1248473798496
2024-12-27,227.49244505057672
2024-12-30,227.30456542393736
2024-12-31,226.93944721438325
2025-01-02,227.69974178376853
2025-01-03,228.0381861711819
2025-01-06,228.17964582745867
2025-01-07,226.7147357309052
2025-01-08,227.07834870989868
2025-01-10,226.31126635931227
2025-01-13,226.19158406443256
2025-01-14,226.38093998205426
2025-01-15,229.81378997752105
2025-01-16,230.20862855704542
2025-01-17,230.75174625404466
2025-01-21,232.85562421006824
2025-01-22,232.93488831579185
2025-01-23,232.47722669038154
2025-01-24,232.962567023375
2025-01-27,232.20290888927894
2025-01-28,233.1793295309584
2025-01-29,232.5499882194762
2025-01-30,233.94488285921292
2025-01-31,232.98913654059885
2025-02-03,233.7193737265342
2025-02-04,235.0082542989103
2025-02-05,236.9589843639317
2025-02-06,237.08754066062963
2025-02-07,235.89494182686687
2025-02-10,237.19360808406964
2025-02-11,236.64406960225898
2025-02-12,234.9098075895606
2025-02-13,237.7602896430935
2025-02-14,237.6616925022095
2025-02-18,237.78551027543884
2025-02-19,238.30887516329727
2025-02-20,238.4575860923193
2025-02-21,237.99349052761588
2025-02-24,238.11325096822952
2025-02-25,238.53862184746572
2025-02-26,239.04077706491367
2025-02-27,236.50175706853813
2025-02-28,238.36377335318605
2025-03-03,237.9400363670329
2025-03-04,236.3140224507969
2025-03-05,236.35771285607137
2025-03-06,234.47286391738803
2025-03-07,234.77083164411255
2025-03-10,233.31980084112655
2025-03-11,232.67986257560946
2025-03-12,232.70064969699544
2025-03-13,233.27930337136075
2025-03-14,234.34608540650095
2025-03-17,235.80644598530378
2025-03-18,235.57885439570904
2025-03-19,237.1843037556538
2025-03-20,237.01532967152932
2025-03-21,235.97345995079317
2025-03-24,236.18102045749
2025-03-25,236.55616583845284
2025-03-26,235.00212912320006
2025-03-27,235.1889086485791
2025-03-28,235.29343080316363
2025-03-31,237.6496415614163
2025-04-01,238.6399931908203
2025-04-02,239.27139820184405
2025-04-03,234.86813429869846
2025-04-04,229.7851865734906
2025-04-07,224.9527347982754
2025-04-08,221.99048174860135
2025-04-09,228.29195392201487
2025-04-10,227.09447806448134
2025-04-11,228.0091948039643
2025-04-14,228.28753124560023
2025-04-15,228.58712819287527
2025-04-16,229.6415394462984
2025-04-17,229.09069685821424
2025-04-21,228.80730657217043
2025-04-22,228.88749713090255
2025-04-23,228.84407115138418
2025-04-24,229.9233062513766
2025-04-25,230.08163594016966
2025-04-28,230.77575803155347
2025-04-29,230.9635636685868
2025-04-30,230.28394413968078
2025-05-01,229.5213820159518
2025-05-02,229.08920711702325
2025-05-05,229.51227832820845
2025-05-06,230.41919283193857
2025-05-07,230.2430028883878
2025-05-08,229.2099350439106
2025-05-09,229.50206081852798
2025-05-12,228.478380920095
2025-05-13,228.4537121554829
2025-05-14,227.5444166782071
2025-05-15,228.4138971987492
2025-05-16,228.2623082612417
2025-05-19,228.4378575210858
2025-05-20,228.56613088923282
2025-05-21,227.1524006978679
2025-05-22,227.32920644450286
2025-05-23,227.88595469379834
2025-05-27,228.81525772209486
2025-05-28,228.3245965386585
2025-05-29,229.19225509865535
2025-05-30,229.09957115590973
2025-06-02,229.1656778833587
2025-06-03,228.95432964327028
2025-06-04,230.3241904446035
2025-06-05,230.2347807050928
2025-06-06,229.12390818070702
2025-06-09,229.32610925200308
2025-06-10,229.7873827574262
2025-06-11,230.21128866217353
2025-06-12,231.4766377870049
2025-06-13,231.0468641052933
2025-06-16,230.06546848685372
2025-06-17,231.046667924543
2025-06-18,231.08791937482428
2025-06-20,230.91950578875424
2025-06-23,231.14396709965501
2025-06-24,231.3450809146943
2025-06-25,231.50346306994285
2025-06-26,232.00223228831808
2025-06-27,230.82033508219402
2025-06-30,232.26024981681627
2025-07-01,232.8393870699876
2025-07-02,232.672084763782
2025-07-03,231.97920270646495
