Date,GLD,IEF,LQD,PDBC,SPY,TLT,^VIX
2018-06-27,118.58000183105469,85.3429946899414,86.74031066894531,9.036505699157715,239.09100341796875,97.82723236083984,17.90999984741211
2018-06-28,118.22000122070312,85.25984954833984,86.62687683105469,9.036505699157715,240.45794677734375,97.85122680664062,16.850000381469727
2018-06-29,118.6500015258789,85.19335174560547,86.67225646972656,9.130481719970703,240.8041534423828,97.51477813720703,16.09000015258789
2018-07-02,117.45999908447266,85.13506317138672,86.68364715576172,8.957368850708008,241.31900024414062,97.43849182128906,15.600000381469727
2018-07-03,118.6500015258789,85.35155487060547,87.00230407714844,8.90790843963623,240.4668731689453,97.96041870117188,16.139999389648438
2018-07-05,119.05000305175781,85.35991668701172,87.2754898071289,8.982100486755371,242.4285430908203,98.24139404296875,14.970000267028809
2018-07-06,118.86000061035156,85.43479919433594,87.3968734741211,9.0117769241333,244.4790496826172,98.5626449584961,13.369999885559082
2018-07-09,119.1500015258789,85.21839141845703,87.45760345458984,9.071127891540527,246.68048095703125,97.9282455444336,12.6899995803833
2018-07-10,118.93000030517578,85.15177154541016,87.35896301269531,9.066183090209961,247.56813049316406,97.92023468017578,12.640000343322754
2018-07-11,117.63999938964844,85.32659149169922,87.533447265625,8.759523391723633,245.7572784423828,98.29759216308594,13.630000114440918
2018-07-12,118.12999725341797,85.29325103759766,87.7231674194336,8.789202690124512,247.98529052734375,98.28961181640625,12.579999923706055
2018-07-13,117.61000061035156,85.43479919433594,87.79150390625,8.808984756469727,248.18055725097656,98.53853607177734,12.180000305175781
2018-07-16,117.55000305175781,85.29325103759766,87.64728546142578,8.621034622192383,247.958740234375,98.12901306152344,12.829999923706055
2018-07-17,116.27999877929688,85.24332427978516,87.58660125732422,8.635872840881348,248.9617156982422,97.9443359375,12.0600004196167
2018-07-18,116.30999755859375,85.1767578125,87.57140350341797,8.690279960632324,249.4854736328125,97.55085754394531,12.100000381469727
2018-07-19,115.80999755859375,85.40983581542969,87.70796203613281,8.685334205627441,248.5444793701172,98.16915893554688,12.869999885559082
